b'RT @KatJanowicz: Hurricane Sally tests @UnitedAirlines protections for parked planes! https://t.co/zYE4b3jwvm #Hurricane #Sally #UnitedAirl\xe2\x80\xa6',Non-Healthcare
"b""\xe2\x9c\x88\xef\xb8\x8f\xf0\x9f\x92\xb0\xf0\x9f\xa7\x90United Airlines sent this traveler's refund to a closed account and now his $2,217 is missing. Can we help?\xe2\x80\xa6 https://t.co/maHdO1XF82""",Non-Healthcare
"b""#UnitedAirlines adds the #Caribbean and #Mexico to the list of places where you won't be charged fees for making ch\xe2\x80\xa6 https://t.co/pIEuBXjeGV""",Non-Healthcare
b'RT @ivreroute: @RiskReversal #airlines #unitedAIRLINES #bailout #airlinebailout Before airlines receive any more if your money they MUST BE\xe2\x80\xa6',Non-Healthcare
b'RT @ivreroute: @RiskReversal #airlines #unitedAIRLINES #bailout #airlinebailout Before airlines receive any more if your money they MUST BE\xe2\x80\xa6',Non-Healthcare
b'RT @BHWineFestival: We love our exclusive airline partner @united just look out the window and you\xe2\x80\x99ll see why \xf0\x9f\x93\xb8 asheh #UnitedAirlines https\xe2\x80\xa6',Non-Healthcare
b'RT @BHWineFestival: We love our exclusive airline partner @united just look out the window and you\xe2\x80\x99ll see why \xf0\x9f\x93\xb8 asheh #UnitedAirlines https\xe2\x80\xa6',Non-Healthcare
"b'#unitedairlines It\xe2\x80\x99s been heavy on my heart, how can we celebrate &amp; honor the pilots who are retiring early? Is the\xe2\x80\xa6 https://t.co/30ouYkZI20'",Non-Healthcare
b'@KrisJenner please we need help at @AmericanAir pull some strings. You used to be a AA flight attendant!! We need t\xe2\x80\xa6 https://t.co/RpqTtadeX0',Non-Healthcare
b'RT @BHWineFestival: We love our exclusive airline partner @united just look out the window and you\xe2\x80\x99ll see why \xf0\x9f\x93\xb8 asheh #UnitedAirlines https\xe2\x80\xa6',Non-Healthcare
"b'@UnitedAirways , how is separating a family part of covid safety? My husband and I flew together but refused to pay\xe2\x80\xa6 https://t.co/ImtivUKsoj'",Non-Healthcare
b'22 million miles on one #airline #UnitedAirlines  #RoadWarriors #flying #airlines #aviation #travel #business\xe2\x80\xa6 https://t.co/mxyRjdUJcV',Non-Healthcare
b'@RiskReversal #airlines #unitedAIRLINES #bailout #airlinebailout Before airlines receive any more if your money the\xe2\x80\xa6 https://t.co/AVLKCiqP3R',Non-Healthcare
b'RT @KatJanowicz: Hurricane Sally tests @UnitedAirlines protections for parked planes! https://t.co/zYE4b3jwvm #Hurricane #Sally #UnitedAirl\xe2\x80\xa6',Non-Healthcare
b'Hurricane Sally tests @UnitedAirlines protections for parked planes! https://t.co/zYE4b3jwvm #Hurricane #Sally\xe2\x80\xa6 https://t.co/WnFdJIC1EC',Non-Healthcare
b'Looking for current and former @United flight attendants to join this list. My name is Stephen. I started flying in\xe2\x80\xa6 https://t.co/zmg1xgMPuo',Non-Healthcare
b'RT @BHWineFestival: We love our exclusive airline partner @united just look out the window and you\xe2\x80\x99ll see why \xf0\x9f\x93\xb8 asheh #UnitedAirlines https\xe2\x80\xa6',Non-Healthcare
b'#UnitedAirlines adds #Mexico and the #Caribbean to the regions for which no change fees will be charged.\xe2\x80\xa6 https://t.co/uwq7lJn3sx',Non-Healthcare
b'#RT @phocuswire: LIVE BLOG: United adds antimicrobial spray to cabin-cleaning measures\n\nhttps://t.co/J7jI1V4MK2 via\xe2\x80\xa6 https://t.co/4GsCnDIzUS',Non-Healthcare
"b'And yes, I did forward these concerns to a #unitedairlines rep. She said she couldn\xe2\x80\x99t comment on the matter as she\xe2\x80\xa6 https://t.co/61Q1vn81h4'",Non-Healthcare
b'RT @BHWineFestival: We love our exclusive airline partner @united just look out the window and you\xe2\x80\x99ll see why \xf0\x9f\x93\xb8 asheh #UnitedAirlines https\xe2\x80\xa6',Non-Healthcare
b'https://t.co/ng2zHBxHKb\nBetter then nothing\n#unitedAIRLINES',Non-Healthcare
"b'Coughing Mannequins Put To Work As Boeing, United Airlines Study COVID On #Planes\n#Boeing #UnitedAirlines\xe2\x80\xa6 https://t.co/oR8a8oPOfd'",Non-Healthcare
b'@Liz_Wheeler I wonder what he would say about #UnitedAirlines https://t.co/u5xAzHeLtT',Non-Healthcare
b'LIVE BLOG: United adds antimicrobial spray to cabin-cleaning measures\n\nhttps://t.co/Nue9ZfFujy via @PhocusWire\xe2\x80\xa6 https://t.co/j8HUc01Wkc',Non-Healthcare
