"b'RT @NextGate: Today and everyday, NextGate supports #patientsafety by eliminating medical errors associated with patient misidentification.\xe2\x80\xa6'",Healthcare
b'RT @CarilionSim: Happy Simulation in Healthcare Week. So many creative and innovative things going on in our Sim Lab. #SimulationInHealthca\xe2\x80\xa6',Healthcare
"b'If you work in #healthcare, then you know: Remaining #HIPAA compliant is not a choice. https://t.co/kxOWLDALKF'",Healthcare
b'RT @DeepLearn007: My Article: The Cutting Edge of #AI\n\nhttps://t.co/mmBFPDCWW2\n\n@SpirosMargaris @Xbond49 @psb_dc @jblefevre60 @nigewillson\xe2\x80\xa6',Healthcare
b'RT @therabusiness: How copper infused dressings can prevent wound infection https://t.co/GXkIUW5jfq #healthcare #innovation',Healthcare
"b'#healthcare teamwork: For @AtlanticHealth and @HorizonBCBSNJ, shared accountability results in better outcomes and\xe2\x80\xa6 https://t.co/ap0d4gVOv0'",Healthcare
"b'RT @drscott_atlanta: The hospital bureaucrat (nonsurgeon) in charge of the decision has had me on hold for 30 minutes!\n\nFolks, I\xe2\x80\x99m warning\xe2\x80\xa6'",Healthcare
"b'Today, CMS is finalizing two, new @CMSinnovates Models \xe2\x80\x93 the Radiation Oncology (RO) Model &amp; the End-Stage Renal Di\xe2\x80\xa6 https://t.co/yVWYtiK41i'",Healthcare
b'Can you recommend anyone for these 286 #Healthcare jobs in #TysonsVA? Click the link in our bio to see them.',Healthcare
b'RT @Wipro: Join @Wipro and @HFSResearch September 29 to explore how the life sciences industry can survive and thrive beyond the new (ab)no\xe2\x80\xa6',Healthcare
b'RT @drscott_atlanta: I have a patient that requires emergency surgery using a #WoundVac\n\nBecause Medicare/Medicaid control #healthcare I ca\xe2\x80\xa6',Healthcare
"b'The hospital bureaucrat (nonsurgeon) in charge of the decision has had me on hold for 30 minutes!\n\nFolks, I\xe2\x80\x99m warni\xe2\x80\xa6 https://t.co/dpee7xTgEY'",Healthcare
"b""Want to work at CoreCivic? We're hiring in #Indianapolis, IN! Click for details: https://t.co/LeREyFkzSn #Healthcare""",Healthcare
"b'Using mental health software, practice reduces depression for 59% of patients https://t.co/vLhRTtV7X9 #informatics\xe2\x80\xa6 https://t.co/Lqvd46fpAd'",Healthcare
b'RT @drscott_atlanta: I have a patient that requires emergency surgery using a #WoundVac\n\nBecause Medicare/Medicaid control #healthcare I ca\xe2\x80\xa6',Healthcare
b'RT @ravidugh: Are consumers already living the future of health? link&gt;&gt;https://t.co/zsMmRNlYl4 @Deloitte #healthcare #digitalhealth\n@antgra\xe2\x80\xa6',Healthcare
